prompt,classname,classidx
a blurry photo of a apple.,apple,0
a blurry photo of a aquarium fish.,aquarium_fish,1
a blurry photo of a baby.,baby,2
a blurry photo of a bear.,bear,3
a blurry photo of a beaver.,beaver,4
a blurry photo of a bed.,bed,5
a blurry photo of a bee.,bee,6
a blurry photo of a beetle.,beetle,7
a blurry photo of a bicycle.,bicycle,8
a blurry photo of a bottle.,bottle,9
a blurry photo of a bowl.,bowl,10
a blurry photo of a boy.,boy,11
a blurry photo of a bridge.,bridge,12
a blurry photo of a bus.,bus,13
a blurry photo of a butterfly.,butterfly,14
a blurry photo of a camel.,camel,15
a blurry photo of a can.,can,16
a blurry photo of a castle.,castle,17
a blurry photo of a caterpillar.,caterpillar,18
a blurry photo of a cattle.,cattle,19
a blurry photo of a chair.,chair,20
a blurry photo of a chimpanzee.,chimpanzee,21
a blurry photo of a clock.,clock,22
a blurry photo of a cloud.,cloud,23
a blurry photo of a cockroach.,cockroach,24
a blurry photo of a couch.,couch,25
a blurry photo of a crab.,crab,26
a blurry photo of a crocodile.,crocodile,27
a blurry photo of a cup.,cup,28
a blurry photo of a dinosaur.,dinosaur,29
a blurry photo of a dolphin.,dolphin,30
a blurry photo of a elephant.,elephant,31
a blurry photo of a flatfish.,flatfish,32
a blurry photo of a forest.,forest,33
a blurry photo of a fox.,fox,34
a blurry photo of a girl.,girl,35
a blurry photo of a hamster.,hamster,36
a blurry photo of a house.,house,37
a blurry photo of a kangaroo.,kangaroo,38
a blurry photo of a keyboard.,keyboard,39
a blurry photo of a lamp.,lamp,40
a blurry photo of a lawn mower.,lawn_mower,41
a blurry photo of a leopard.,leopard,42
a blurry photo of a lion.,lion,43
a blurry photo of a lizard.,lizard,44
a blurry photo of a lobster.,lobster,45
a blurry photo of a man.,man,46
a blurry photo of a maple tree.,maple_tree,47
a blurry photo of a motorcycle.,motorcycle,48
a blurry photo of a mountain.,mountain,49
a blurry photo of a mouse.,mouse,50
a blurry photo of a mushroom.,mushroom,51
a blurry photo of a oak tree.,oak_tree,52
a blurry photo of a orange.,orange,53
a blurry photo of a orchid.,orchid,54
a blurry photo of a otter.,otter,55
a blurry photo of a palm tree.,palm_tree,56
a blurry photo of a pear.,pear,57
a blurry photo of a pickup truck.,pickup_truck,58
a blurry photo of a pine tree.,pine_tree,59
a blurry photo of a plain.,plain,60
a blurry photo of a plate.,plate,61
a blurry photo of a poppy.,poppy,62
a blurry photo of a porcupine.,porcupine,63
a blurry photo of a possum.,possum,64
a blurry photo of a rabbit.,rabbit,65
a blurry photo of a raccoon.,raccoon,66
a blurry photo of a ray.,ray,67
a blurry photo of a road.,road,68
a blurry photo of a rocket.,rocket,69
a blurry photo of a rose.,rose,70
a blurry photo of a sea.,sea,71
a blurry photo of a seal.,seal,72
a blurry photo of a shark.,shark,73
a blurry photo of a shrew.,shrew,74
a blurry photo of a skunk.,skunk,75
a blurry photo of a skyscraper.,skyscraper,76
a blurry photo of a snail.,snail,77
a blurry photo of a snake.,snake,78
a blurry photo of a spider.,spider,79
a blurry photo of a squirrel.,squirrel,80
a blurry photo of a streetcar.,streetcar,81
a blurry photo of a sunflower.,sunflower,82
a blurry photo of a sweet pepper.,sweet_pepper,83
a blurry photo of a table.,table,84
a blurry photo of a tank.,tank,85
a blurry photo of a telephone.,telephone,86
a blurry photo of a television.,television,87
a blurry photo of a tiger.,tiger,88
a blurry photo of a tractor.,tractor,89
a blurry photo of a train.,train,90
a blurry photo of a trout.,trout,91
a blurry photo of a tulip.,tulip,92
a blurry photo of a turtle.,turtle,93
a blurry photo of a wardrobe.,wardrobe,94
a blurry photo of a whale.,whale,95
a blurry photo of a willow tree.,willow_tree,96
a blurry photo of a wolf.,wolf,97
a blurry photo of a woman.,woman,98
a blurry photo of a worm.,worm,99
