prompt,classname,classidx
a photo of a tench.,tench,0
a photo of a goldfish.,goldfish,1
a photo of a great white shark.,great white shark,2
a photo of a tiger shark.,tiger shark,3
a photo of a hammerhead shark.,hammerhead shark,4
a photo of a electric ray.,electric ray,5
a photo of a stingray.,stingray,6
a photo of a rooster.,rooster,7
a photo of a hen.,hen,8
a photo of a ostrich.,ostrich,9
a photo of a brambling.,brambling,10
a photo of a goldfinch.,goldfinch,11
a photo of a house finch.,house finch,12
a photo of a junco.,junco,13
a photo of a indigo bunting.,indigo bunting,14
a photo of a American robin.,American robin,15
a photo of a bulbul.,bulbul,16
a photo of a jay.,jay,17
a photo of a magpie.,magpie,18
a photo of a chickadee.,chickadee,19
a photo of a American dipper.,American dipper,20
a photo of a kite (bird of prey).,kite (bird of prey),21
a photo of a bald eagle.,bald eagle,22
a photo of a vulture.,vulture,23
a photo of a great grey owl.,great grey owl,24
a photo of a fire salamander.,fire salamander,25
a photo of a smooth newt.,smooth newt,26
a photo of a newt.,newt,27
a photo of a spotted salamander.,spotted salamander,28
a photo of a axolotl.,axolotl,29
a photo of a American bullfrog.,American bullfrog,30
a photo of a tree frog.,tree frog,31
a photo of a tailed frog.,tailed frog,32
a photo of a loggerhead sea turtle.,loggerhead sea turtle,33
a photo of a leatherback sea turtle.,leatherback sea turtle,34
a photo of a mud turtle.,mud turtle,35
a photo of a terrapin.,terrapin,36
a photo of a box turtle.,box turtle,37
a photo of a banded gecko.,banded gecko,38
a photo of a green iguana.,green iguana,39
a photo of a Carolina anole.,Carolina anole,40
a photo of a desert grassland whiptail lizard.,desert grassland whiptail lizard,41
a photo of a agama.,agama,42
a photo of a frilled-necked lizard.,frilled-necked lizard,43
a photo of a alligator lizard.,alligator lizard,44
a photo of a Gila monster.,Gila monster,45
a photo of a European green lizard.,European green lizard,46
a photo of a chameleon.,chameleon,47
a photo of a Komodo dragon.,Komodo dragon,48
a photo of a Nile crocodile.,Nile crocodile,49
a photo of a American alligator.,American alligator,50
a photo of a triceratops.,triceratops,51
a photo of a worm snake.,worm snake,52
a photo of a ring-necked snake.,ring-necked snake,53
a photo of a eastern hog-nosed snake.,eastern hog-nosed snake,54
a photo of a smooth green snake.,smooth green snake,55
a photo of a kingsnake.,kingsnake,56
a photo of a garter snake.,garter snake,57
a photo of a water snake.,water snake,58
a photo of a vine snake.,vine snake,59
a photo of a night snake.,night snake,60
a photo of a boa constrictor.,boa constrictor,61
a photo of a African rock python.,African rock python,62
a photo of a Indian cobra.,Indian cobra,63
a photo of a green mamba.,green mamba,64
a photo of a sea snake.,sea snake,65
a photo of a Saharan horned viper.,Saharan horned viper,66
a photo of a eastern diamondback rattlesnake.,eastern diamondback rattlesnake,67
a photo of a sidewinder rattlesnake.,sidewinder rattlesnake,68
a photo of a trilobite.,trilobite,69
a photo of a harvestman.,harvestman,70
a photo of a scorpion.,scorpion,71
a photo of a yellow garden spider.,yellow garden spider,72
a photo of a barn spider.,barn spider,73
a photo of a European garden spider.,European garden spider,74
a photo of a southern black widow.,southern black widow,75
a photo of a tarantula.,tarantula,76
a photo of a wolf spider.,wolf spider,77
a photo of a tick.,tick,78
a photo of a centipede.,centipede,79
a photo of a black grouse.,black grouse,80
a photo of a ptarmigan.,ptarmigan,81
a photo of a ruffed grouse.,ruffed grouse,82
a photo of a prairie grouse.,prairie grouse,83
a photo of a peafowl.,peafowl,84
a photo of a quail.,quail,85
a photo of a partridge.,partridge,86
a photo of a african grey parrot.,african grey parrot,87
a photo of a macaw.,macaw,88
a photo of a sulphur-crested cockatoo.,sulphur-crested cockatoo,89
a photo of a lorikeet.,lorikeet,90
a photo of a coucal.,coucal,91
a photo of a bee eater.,bee eater,92
a photo of a hornbill.,hornbill,93
a photo of a hummingbird.,hummingbird,94
a photo of a jacamar.,jacamar,95
a photo of a toucan.,toucan,96
a photo of a duck.,duck,97
a photo of a red-breasted merganser.,red-breasted merganser,98
a photo of a goose.,goose,99
a photo of a black swan.,black swan,100
a photo of a tusker.,tusker,101
a photo of a echidna.,echidna,102
a photo of a platypus.,platypus,103
a photo of a wallaby.,wallaby,104
a photo of a koala.,koala,105
a photo of a wombat.,wombat,106
a photo of a jellyfish.,jellyfish,107
a photo of a sea anemone.,sea anemone,108
a photo of a brain coral.,brain coral,109
a photo of a flatworm.,flatworm,110
a photo of a nematode.,nematode,111
a photo of a conch.,conch,112
a photo of a snail.,snail,113
a photo of a slug.,slug,114
a photo of a sea slug.,sea slug,115
a photo of a chiton.,chiton,116
a photo of a chambered nautilus.,chambered nautilus,117
a photo of a Dungeness crab.,Dungeness crab,118
a photo of a rock crab.,rock crab,119
a photo of a fiddler crab.,fiddler crab,120
a photo of a red king crab.,red king crab,121
a photo of a American lobster.,American lobster,122
a photo of a spiny lobster.,spiny lobster,123
a photo of a crayfish.,crayfish,124
a photo of a hermit crab.,hermit crab,125
a photo of a isopod.,isopod,126
a photo of a white stork.,white stork,127
a photo of a black stork.,black stork,128
a photo of a spoonbill.,spoonbill,129
a photo of a flamingo.,flamingo,130
a photo of a little blue heron.,little blue heron,131
a photo of a great egret.,great egret,132
a photo of a bittern bird.,bittern bird,133
a photo of a crane bird.,crane bird,134
a photo of a limpkin.,limpkin,135
a photo of a common gallinule.,common gallinule,136
