prompt,classname,classidx
a photo of a alarm clock.,alarm_clock,0
a photo of a backpack.,backpack,1
a photo of a banana.,banana,2
a photo of a band aid.,band_aid,3
a photo of a basket.,basket,4
a photo of a beer bottle.,beer_bottle,5
a photo of a bench.,bench,6
a photo of a bicycle.,bicycle,7
a photo of a binder (closed).,binder_closed,8
a photo of a bottle cap.,bottle_cap,9
a photo of a bread loaf.,bread_loaf,10
a photo of a broom.,broom,11
a photo of a bucket.,bucket,12
a photo of a butcher's knife.,butchers_knife,13
a photo of a can opener.,can_opener,14
a photo of a candle.,candle,15
a photo of a cellphone.,cellphone,16
a photo of a chair.,chair,17
a photo of a clothes hamper.,clothes_hamper,18
a photo of a coffee/french press.,coffee_french_press,19
a photo of a combination lock.,combination_lock,20
a photo of a computer mouse.,computer_mouse,21
a photo of a desk lamp.,desk_lamp,22
a photo of a doormat.,doormat,23
a photo of a dress.,dress,24
a photo of a dress shoe (men).,dress_shoe_men,25
a photo of a drill.,drill,26
a photo of a drinking cup.,drinking_cup,27
a photo of a drying rack for plates.,drying_rack_for_dishes,28
a photo of a envelope.,envelope,29
a photo of a fan.,fan,30
a photo of a frying pan.,frying_pan,31
a photo of a bath towel.,full_sized_towel,32
a photo of a hair dryer.,hair_dryer,33
a photo of a hammer.,hammer,34
a photo of a dishrag or hand towel.,hand_towel_or_rag,35
a photo of a helmet.,helmet,36
a photo of a iron (for clothes).,iron_for_clothes,37
a photo of a jeans.,jeans,38
a photo of a keyboard.,keyboard,39
a photo of a ladle.,ladle,40
a photo of a lampshade.,lampshade,41
a photo of a laptop (open).,laptop_open,42
a photo of a lemon.,lemon,43
a photo of a letter opener.,letter_opener,44
a photo of a lighter.,lighter,45
a photo of a lipstick.,lipstick,46
a photo of a match.,match,47
a photo of a measuring cup.,measuring_cup,48
a photo of a microwave.,microwave,49
a photo of a mixing / salad bowl.,mixing_salad_bowl,50
a photo of a monitor.,monitor,51
a photo of a mug.,mug,52
a photo of a nail (fastener).,nail_fastener,53
a photo of a necklace.,necklace,54
a photo of a orange.,orange,55
a photo of a padlock.,padlock,56
a photo of a paintbrush.,paintbrush,57
a photo of a paper towel.,paper_towel,58
a photo of a pen.,pen,59
a photo of a pill bottle.,pill_bottle,60
a photo of a pillow.,pillow,61
a photo of a pitcher.,pitcher,62
a photo of a plastic bag.,plastic_bag,63
a photo of a plate.,plate,64
a photo of a plunger.,plunger,65
a photo of a pop can.,pop_can,66
a photo of a portable heater.,portable_heater,67
a photo of a printer.,printer,68
a photo of a remote control.,remote_control,69
a photo of a ruler.,ruler,70
a photo of a running shoe.,running_shoe,71
a photo of a safety pin.,safety_pin,72
a photo of a salt shaker.,salt_shaker,73
a photo of a sandal.,sandal,74
a photo of a screw.,screw,75
a photo of a shovel.,shovel,76
a photo of a skirt.,skirt,77
a photo of a sleeping bag.,sleeping_bag,78
a photo of a soap dispenser.,soap_dispenser,79
a photo of a sock.,sock,80
a photo of a soup bowl.,soup_bowl,81
a photo of a spatula.,spatula,82
a photo of a speaker.,speaker,83
a photo of a still camera.,still_camera,84
a photo of a strainer.,strainer,85
a photo of a stuffed animal.,stuffed_animal,86
a photo of a suit jacket.,suit_jacket,87
a photo of a sunglasses.,sunglasses,88
a photo of a sweater.,sweater,89
a photo of a swimming trunks.,swimming_trunks,90
a photo of a t-shirt.,t-shirt,91
a photo of a teapot.,teapot,92
a photo of a tennis racket.,tennis_racket,93
a photo of a tie.,tie,94
a photo of a toaster.,toaster,95
a photo of a toilet paper roll.,toilet_paper_roll,96
a photo of a trash bin.,trash_bin,97
a photo of a tray.,tray,98
a photo of a tv.,tv,99
a photo of a umbrella.,umbrella,100
a photo of a vacuum cleaner.,vacuum_cleaner,101
a photo of a vase.,vase,102
a photo of a wallet.,wallet,103
a photo of a watch.,watch,104
a photo of a water bottle.,water_bottle,105
a photo of a weight (exercise).,weight_exercise,106
a photo of a weight scale.,weight_scale,107
a photo of a wheel.,wheel,108
a photo of a whistle.,whistle,109
a photo of a wine bottle.,wine_bottle,110
a photo of a winter glove.,winter_glove,111
a photo of a wok.,wok,112
